t_s,e_div12_V,e_div3_V,i_ind_fig7_A,i_tot_fig7_A
0.01955,89.2,42.5,-275.0,4726.8
0.01960,89.2,43.9,-275.0,4745.9
0.01965,89.2,45.2,-275.0,4745.9
0.01970,89.2,45.6,-275.0,4745.9
0.01975,89.2,45.6,-250.0,4745.9
0.01980,89.2,45.6,-275.0,4745.9
0.01985,89.2,45.6,-250.0,4719.8
0.01990,89.2,45.6,-250.0,4719.8
0.01995,89.2,45.6,-276.1,4735.4
0.02000,89.2,45.6,-276.1,4719.8
0.02005,89.2,45.6,-253.9,4719.8
0.02010,89.2,45.6,-253.9,4735.4
0.02015,89.2,45.6,-290.4,4735.4
0.02020,89.2,45.6,-290.4,4751.1
0.02025,89.2,45.6,-263.9,4751.1
0.02030,89.2,45.6,-290.4,4752.2
0.02035,89.2,45.6,-263.9,4763.3
0.02040,89.2,45.6,-263.9,4766.8
0.02045,89.2,45.6,-263.9,4791.2
0.02050,89.2,45.6,-263.9,4791.2
0.02055,89.2,45.6,-275.0,4791.2
0.02060,89.2,45.6,-275.0,4791.2
0.02065,89.2,45.6,-275.0,4791.2
0.02070,89.2,45.6,-286.2,4782.6
0.02075,89.2,45.6,-286.2,4774.0
0.02080,89.2,45.6,-286.2,4765.4
0.02085,89.2,45.6,-286.2,4756.9
0.02090,89.2,45.6,-255.6,4748.3
0.02095,89.2,45.6,-286.2,4739.7
0.02100,90.2,45.6,-258.5,4731.2
0.02105,91.6,45.6,-258.5,4722.6
0.02110,92.9,45.6,-296.1,4714.0
0.02115,93.2,45.6,-296.1,4705.5
0.02120,93.2,45.6,-296.1,4696.9
0.02125,93.2,45.6,-296.1,4688.3
0.02130,93.2,45.6,-297.8,4679.8
0.02135,93.2,45.6,-297.8,4671.2
0.02140,93.2,45.6,-296.1,4662.6
0.02145,93.2,45.6,-297.8,4654.1
0.02150,93.2,45.6,-297.8,4645.5
0.02155,93.2,45.6,-286.2,4636.9
0.02160,93.2,45.6,-286.2,4628.3
0.02165,93.2,45.6,-282.1,4628.3
0.02170,93.2,45.6,-286.2,4628.3
0.02175,93.2,45.6,-286.2,4625.3
0.02180,93.2,45.6,-286.2,4625.3
0.02185,93.7,45.6,-297.3,4625.3
0.02190,95.0,45.6,-297.3,4707.6
0.02195,96.4,45.6,-297.3,4707.6
0.02200,97.1,45.6,-297.3,4707.6
0.02205,97.1,45.6,-261.2,4719.0
0.02210,97.1,45.6,-297.3,4707.6
